measurement,instance,algorithm,seed,vertices,probability,arcs,max-capacity,max-cpu,result,time
6,5,EK,12277,500,0.5,62531,100,10,12023,2.22009
7,5,EK,12277,500,0.5,62531,100,10,12023,2.22693
8,5,EK,12277,500,0.5,62531,100,10,12023,2.21837
9,5,EK,12277,500,0.5,62531,100,10,12023,2.14002
10,5,EK,12277,500,0.5,62531,100,10,12023,2.14764
11,5,EK,12277,500,0.5,62531,100,10,12023,2.14797
12,5,EK,12277,500,0.5,62531,100,10,12023,2.14569
13,5,EK,12277,500,0.5,62531,100,10,12023,2.13706
14,5,EK,12277,500,0.5,62531,100,10,12023,2.22323
15,5,EK,12277,500,0.5,62531,100,10,12023,2.1431
16,5,EK,12277,500,0.5,62531,100,10,12023,2.21869
17,5,EK,12277,500,0.5,62531,100,10,12023,2.14018
18,5,EK,12277,500,0.5,62531,100,10,12023,2.14502
19,5,EK,12277,500,0.5,62531,100,10,12023,2.21763
20,5,EK,12277,500,0.5,62531,100,10,12023,2.14028
21,5,EK,12277,500,0.5,62531,100,10,12023,2.21844
22,5,EK,12277,500,0.5,62531,100,10,12023,2.22429
23,5,EK,12277,500,0.5,62531,100,10,12023,2.21673
24,5,EK,12277,500,0.5,62531,100,10,12023,2.1451
25,5,EK,12277,500,0.5,62531,100,10,12023,2.22358
26,5,EK,12277,500,0.5,62531,100,10,12023,2.21814
27,5,EK,12277,500,0.5,62531,100,10,12023,2.22346
28,5,EK,12277,500,0.5,62531,100,10,12023,2.21998
29,5,EK,12277,500,0.5,62531,100,10,12023,2.22198
30,5,EK,12277,500,0.5,62531,100,10,12023,2.13917
1,5,MPM,12277,500,0.5,62531,100,10,12023,0.160591
2,5,MPM,12277,500,0.5,62531,100,10,12023,0.160882
3,5,MPM,12277,500,0.5,62531,100,10,12023,0.160776
4,5,MPM,12277,500,0.5,62531,100,10,12023,0.161017
5,5,MPM,12277,500,0.5,62531,100,10,12023,0.160858
6,5,MPM,12277,500,0.5,62531,100,10,12023,0.160745
7,5,MPM,12277,500,0.5,62531,100,10,12023,0.162318
